#,PSRJ,P0,P1,DM,BINARY,DIST,DIST_DM,BSURF,
2156,J1953+1846B,0.079899,1.01e-18,119.17,ELL1,4.000,4.605,9.08e+09,
2157,J1953+1846D,0.100679,8.01e-20,118.40,DD,4.000,4.564,2.87e+09,
2158,J1953+2732,1.333965,1.77e-15,194.20,*,7.585,7.585,1.56e+12,
2159,J1953+2819,1.011002,2.14e-15,199.00,*,7.550,7.550,1.49e+12,
2160,J1954+1021,2.099440,1.73e-15,80.87,*,4.339,4.339,1.93e+12,
2161,J1954+2407,0.193405,1.06e-15,80.50,*,4.176,4.176,4.57e+11,
2162,J1954+2529,0.931210,1.26e-15,182.70,DD,7.803,7.803,1.10e+12,
2163,J1954+2836,0.092709,2.12e-14,*,*,1.960,*,1.42e+12,
2164,J1954+2923,0.426677,1.71e-18,7.93,*,0.536,0.536,2.73e+10,
2165,J1954+3852,0.352933,6.60e-15,65.36,*,4.666,4.666,1.54e+12,
2166,J1954+4347,1.387041,2.20e-15,130.31,*,10.085,10.085,1.77e+12,
2167,J1954+4357,1.387041,2.20e-15,130.30,*,10.084,10.084,1.77e+12,
2168,J1955+2930,1.073878,3.36e-15,212.40,*,7.540,7.540,1.92e+12,
2169,J1955+5059,0.518938,1.37e-15,31.98,*,2.186,2.186,8.54e+11,
2170,J1956+0838,0.303911,2.26e-16,67.09,*,3.537,3.537,2.65e+11,
2171,J1957+2831,0.307683,3.11e-15,138.99,*,6.891,6.891,9.90e+11,
2172,J1957+5033,0.374807,7.08e-15,*,*,1.365,*,1.65e+12,
2173,J1957-0002,0.965096,8.05e-16,38.44,*,1.787,1.787,8.92e+11,
2174,J1958+2846,0.290389,2.12e-13,*,*,1.950,*,7.94e+12,
2175,J1958+3033,1.098581,6.46e-15,201.90,*,7.250,7.250,2.70e+12,
2176,J1959+3620,0.406081,3.60e-17,273.00,*,13.350,13.350,1.22e+11,
2177,J2000+2920,3.073783,3.74e-14,132.30,*,6.683,6.683,1.09e+13,
2178,J2001+4258,0.719166,1.73e-14,54.93,*,3.754,3.754,3.57e+12,
2179,J2001-0349,1.344724,1.12e-16,67.00,*,5.961,5.961,3.93e+11,
2180,J2002+1637,0.276497,2.25e-16,94.58,*,4.899,4.899,2.52e+11,
2181,J2002+3217,0.696761,1.05e-13,142.21,*,6.458,6.458,8.66e+12,
2182,J2002+4050,0.905067,1.74e-15,131.49,*,6.383,6.383,1.27e+12,
2183,J2003+2916,1.009877,3.41e-16,209.50,*,7.444,7.444,5.94e+11,
2184,J2004+2653,0.665879,5.67e-17,160.00,*,7.672,7.672,1.97e+11,
2185,J2004+3137,2.111265,7.46e-14,234.82,*,8.000,7.264,1.27e+13,
2186,J2004+3429,0.240953,2.07e-13,351.00,*,10.835,10.835,7.14e+12,
