#,PSRJ,P0,P1,DM,BINARY,DIST,DIST_DM,BSURF,
1,J0002+6216,0.115364,5.97e-15,218.60,*,6.357,6.357,8.40e+11,
2,J0006+1834,0.693748,2.10e-15,11.40,*,0.860,0.860,1.22e+12,
3,J0007+7303,0.315873,3.60e-13,*,*,1.400,*,1.08e+13,
4,J0012+5431,3.025301,1.28e-16,131.30,*,5.427,5.427,6.30e+11,
5,J0014+4746,1.240699,5.64e-16,30.41,*,1.776,1.776,8.47e+11,
6,J0021-0909,2.314131,1.04e-15,25.20,*,25.000,25.000,1.57e+12,
7,J0026+6320,0.318358,1.51e-16,245.06,*,6.619,6.619,2.22e+11,
8,J0034-0721,0.942951,4.08e-16,10.92,*,1.030,1.776,6.28e+11,
9,J0036-1033,0.900009,2.13e-16,23.10,*,25.000,25.000,4.43e+11,
10,J0038-2501,0.256926,7.60e-19,5.71,*,0.604,0.604,1.41e+10,
11,J0040+5716,1.118225,2.88e-15,92.52,*,2.420,2.420,1.82e+12,
12,J0040-7326,0.398657,5.61e-15,85.70,*,58.216,58.216,1.51e+12,
13,J0040-7335,0.145218,2.39e-14,198.27,*,61.176,61.176,1.88e+12,
14,J0040-7337,0.059889,3.40e-14,101.79,*,58.717,58.717,1.44e+12,
15,J0043-7319,0.937434,9.33e-15,120.80,*,59.103,59.103,2.99e+12,
16,J0044-7314,0.396913,1.76e-15,78.60,*,57.955,57.955,8.46e+11,
17,J0045-7042,0.632336,2.49e-15,71.30,*,59.700,58.576,1.27e+12,
18,J0045-7319,0.926276,4.46e-15,104.60,BT,59.700,58.705,2.06e+12,
19,J0048+3412,1.217094,2.35e-15,39.92,*,4.500,4.500,1.71e+12,
20,J0048-7317,0.079314,3.30e-14,292.42,*,100.000,100.000,1.64e+12,
21,J0051+0423,0.354732,7.00e-18,13.93,*,1.250,1.250,5.04e+10,
22,J0051-7204,0.191447,1.38e-14,159.30,*,60.252,60.252,1.65e+12,
23,J0054+6650,1.390217,5.55e-15,14.60,*,0.880,0.880,2.81e+12,
24,J0054+6946,0.832911,7.19e-16,116.52,*,2.757,2.757,7.83e+11,
25,J0054-7228,0.290945,9.56e-15,92.40,*,58.507,58.507,1.69e+12,
26,J0055+5117,2.115171,9.54e-15,44.01,*,2.800,1.935,4.55e+12,
27,J0056+4756,0.472037,3.33e-15,18.14,*,1.123,1.123,1.27e+12,
28,J0057-7201,0.738062,1.00e-16,27.00,*,3.475,3.475,2.75e+11,
29,J0058+4950,0.996023,8.04e-16,66.95,*,2.644,2.644,9.05e+11,
30,J0100+8023,1.493601,3.54e-16,56.01,*,2.847,2.847,7.36e+11,
31,J0100-7211,8.020392,1.88e-11,*,*,59.700,*,3.93e+14,
32,J0102+6537,1.679164,5.95e-15,65.85,*,2.500,1.977,3.20e+12,
33,J0105-7208,0.306737,2.36e-14,120.40,*,59.967,59.967,2.72e+12,
34,J0106+4855,0.083157,4.28e-16,70.90,*,3.063,3.063,1.91e+11,
35,J0107+1322,1.197383,6.87e-16,21.67,*,2.349,2.349,9.18e+11,
36,J0108+6608,1.283660,1.31e-14,30.55,*,2.140,1.461,4.14e+12,
37,J0108+6905,1.071118,4.81e-17,61.06,*,1.981,1.981,2.30e+11,
38,J0108-1431,0.807565,7.70e-17,1.99,*,0.210,0.210,2.52e+11,
39,J0110-2223,1.261960,6.21e-16,20.62,*,25.000,25.000,8.96e+11,
40,J0111+6624,4.301872,8.36e-15,111.20,*,2.412,2.412,6.07e+12,
41,J0111-7131,0.688542,7.09e-15,79.40,*,59.700,59.325,2.24e+12,
42,J0113-7220,0.325883,4.86e-15,125.49,*,59.700,60.998,1.27e+12,
43,J0115+6325,0.521455,1.60e-15,65.07,*,1.931,1.931,9.24e+11,
44,J0117+5914,0.101439,5.85e-15,49.42,*,1.768,1.768,7.80e+11,
45,J0120+1837,1.313385,1.36e-17,13.40,*,1.035,1.035,1.35e+11,
46,J0122+1416,1.388994,3.80e-15,17.69,*,1.583,1.583,2.33e+12,
47,J0131-7310,0.348124,1.76e-15,205.22,*,59.700,100.000,7.92e+11,
48,J0133-6957,0.463474,1.20e-16,22.95,*,2.441,2.441,2.39e+11,
49,J0134-2937,0.136962,7.84e-17,21.79,*,25.000,25.000,1.05e+11,
50,J0137+1654,0.414763,1.22e-17,26.08,*,3.059,3.059,7.21e+10,
51,J0137+6349,0.717963,9.60e-16,285.50,*,9.097,9.097,8.40e+11,
52,J0139+3336,1.247961,2.06e-15,21.23,*,1.470,1.470,1.62e+12,
53,J0139+5621,1.775344,7.91e-14,101.84,*,2.410,2.410,1.20e+13,
54,J0139+5814,0.272451,1.07e-14,73.81,*,2.600,2.006,1.73e+12,
55,J0141+6009,1.222949,3.91e-16,34.93,*,2.300,1.498,7.00e+11,
56,J0141+6303,0.046680,1.65e-18,272.76,*,8.788,8.788,8.87e+09,
57,J0146+6145,8.688994,1.99e-12,*,*,3.600,*,1.33e+14,
58,J0147+5922,0.196321,2.57e-16,40.11,*,1.900,1.578,2.27e+11,
59,J0151-0635,1.464665,4.43e-16,25.49,*,25.000,25.000,8.15e+11,
60,J0152+0948,2.746647,1.70e-15,22.88,*,2.476,2.476,2.19e+12,
61,J0152-1637,0.832742,1.30e-15,11.93,*,0.930,0.930,1.05e+12,
62,J0156+3949,1.811561,1.52e-16,59.83,*,4.920,4.920,5.30e+11,
63,J0157+6212,2.351745,1.89e-13,30.21,*,1.820,1.385,2.13e+13,
64,J0201+7005,1.349184,5.51e-15,21.03,*,1.172,1.172,2.76e+12,
65,J0205+6449,0.065716,1.94e-13,140.70,*,3.200,2.784,3.61e+12,
66,J0206-4028,0.630551,1.20e-15,13.00,*,1.271,1.271,8.79e+11,
67,J0209+4331,0.863883,5.72e-17,57.29,*,2.531,2.531,2.25e+11,
68,J0209+5759,1.063906,1.39e-14,55.28,*,1.743,1.743,3.89e+12,
69,J0210+5845,1.766219,1.52e-13,76.79,*,1.952,1.952,1.66e+13,
70,J0211+4235,0.350731,1.11e-18,49.70,*,2.240,2.240,1.99e+10,
71,J0211-8159,3.231999,7.14e-16,24.36,*,1.656,1.656,1.54e+12,
72,J0212+5222,0.376386,6.60e-15,38.21,*,1.558,1.558,1.59e+12,
73,J0215+6218,0.548880,6.62e-16,84.00,*,2.004,2.004,6.10e+11,
74,J0227+3356,1.240102,2.85e-15,27.00,*,1.595,1.595,1.90e+12,
75,J0231+7026,1.466820,3.11e-15,46.68,*,1.755,1.755,2.16e+12,
76,J0248+6021,0.217094,5.51e-14,370.00,*,2.000,25.000,3.50e+12,
77,J0250+5854,23.535378,2.72e-14,45.28,*,1.558,1.558,2.56e+13,
78,J0255-5304,0.447708,3.13e-17,17.97,*,1.846,1.846,1.20e+11,
79,J0302+2252,1.207165,8.25e-17,18.99,*,1.013,1.013,3.19e+11,
80,J0304+1932,1.387584,1.30e-15,15.66,*,0.749,0.749,1.36e+12,
81,J0323+3944,3.032072,6.36e-16,26.19,*,0.940,1.197,1.40e+12,
82,J0324+5239,0.336620,3.81e-16,115.46,*,2.290,2.290,3.62e+11,
83,J0325+6744,1.364679,1.55e-15,65.28,*,1.929,1.929,1.47e+12,
84,J0329+1654,0.893320,2.15e-16,40.82,*,2.557,2.557,4.44e+11,
85,J0332+5434,0.714520,2.05e-15,26.76,*,1.680,1.183,1.22e+12,
86,J0335+4555,0.269201,7.35e-18,47.15,*,2.410,1.535,4.50e+10,
87,J0335+6623,1.761934,4.81e-15,66.73,*,1.907,1.907,2.95e+12,
88,J0343+5312,1.934478,1.34e-14,67.30,*,1.705,1.705,5.16e+12,
89,J0343-3000,2.597027,3.91e-17,20.26,*,1.594,1.594,3.23e+11,
90,J0344-0901,1.226006,3.47e-15,30.90,*,1.507,1.507,2.09e+12,
91,J0348+0432,0.039123,2.41e-19,40.46,ELL1,2.100,2.255,3.11e+09,
92,J0349+2340,2.420771,1.10e-15,62.96,*,3.745,3.745,1.65e+12,
93,J0357+3205,0.444104,1.30e-14,*,*,0.835,*,2.43e+12,
94,J0357+5236,0.197030,4.77e-16,103.71,*,2.900,2.025,3.10e+11,
95,J0358+4155,0.226484,1.46e-16,46.33,*,1.481,1.481,1.84e+11,
96,J0358+5413,0.156384,4.39e-15,57.14,*,1.000,1.594,8.39e+11,
97,J0358+6627,0.091506,1.09e-17,62.33,*,1.884,1.884,3.19e+10,
98,J0359+5414,0.079427,1.67e-14,*,*,*,*,1.17e+12,
99,J0401-7608,0.545254,1.54e-15,21.75,*,1.014,1.014,9.28e+11,
100,J0402+4825,0.512194,2.75e-16,85.70,*,1.844,1.844,3.80e+11,
101,J0405+3347,0.063954,1.64e-19,53.60,*,1.655,1.655,3.27e+09,
102,J0406+6138,0.594576,5.57e-15,65.41,*,4.200,1.785,1.84e+12,
103,J0415+6111,0.440189,5.01e-17,70.80,*,1.845,1.845,1.50e+11,
104,J0415+6954,0.390715,7.66e-17,27.45,*,1.367,1.367,1.75e+11,
105,J0418+5732,9.078388,4.10e-15,*,*,*,*,6.17e+12,
106,J0418-4154,0.757119,1.32e-15,24.32,*,2.519,2.519,1.01e+12,
107,J0420+4451,1.241126,5.92e-16,71.67,*,1.686,1.686,8.68e+11,
108,J0420-5022,3.453004,2.76e-14,*,*,*,*,9.88e+12,
109,J0421+3255,0.900105,6.00e-17,77.02,*,1.939,1.939,2.35e+11,
110,J0421-0345,2.161309,1.16e-15,44.88,*,2.217,2.217,1.60e+12,
111,J0426+4933,0.922475,3.93e-14,84.30,*,1.795,1.795,6.10e+12,
112,J0427+4723,2.158436,2.39e-14,54.00,*,1.500,1.500,7.27e+12,
113,J0435+2749,0.326279,8.17e-18,53.19,*,1.521,1.521,5.22e+10,
114,J0448-2749,0.450448,1.48e-16,26.15,*,1.803,1.803,2.62e+11,
115,J0449-7031,0.479164,3.37e-15,65.83,*,49.700,50.463,1.29e+12,
116,J0450-1248,0.438014,1.03e-16,37.04,*,1.798,1.798,2.15e+11,
117,J0452-1759,0.548939,5.75e-15,39.90,*,0.400,2.676,1.80e+12,
118,J0452-3418,1.665119,2.77e-15,19.78,*,1.342,1.342,2.18e+12,
119,J0453+1559,0.045782,1.86e-19,30.31,DDH,0.521,0.521,2.95e+09,
120,J0454+4529,1.389137,4.89e-15,20.83,*,0.765,0.765,2.64e+12,
121,J0454+5543,0.340729,2.37e-15,14.59,*,1.180,0.637,9.10e+11,
122,J0455-6951,0.320423,1.02e-14,94.70,*,49.700,50.586,1.83e+12,
123,J0456-7031,0.800132,3.67e-14,100.30,*,49.700,51.132,5.48e+12,
124,J0457-6337,2.497012,2.10e-16,27.50,*,1.333,1.333,7.33e+11,
125,J0458-0505,1.883480,5.30e-16,47.81,*,1.938,1.938,1.01e+12,
126,J0459-0210,1.133077,1.40e-15,21.23,*,0.160,0.160,1.27e+12,
127,J0501+4516,5.762097,5.82e-12,*,*,2.000,*,1.85e+14,
128,J0502+4654,0.638565,5.58e-15,41.83,*,2.700,1.325,1.91e+12,
129,J0502-6617,0.691251,2.31e-14,68.90,*,49.700,49.066,4.04e+12,
130,J0509+3801,0.076541,7.93e-18,69.08,DDGR,1.562,1.562,2.49e+10,
131,J0511-6508,0.322062,2.07e-16,25.66,*,0.818,0.818,2.61e+11,
132,J0514-4408,0.320271,2.04e-15,15.12,*,0.966,0.966,8.18e+11,
133,J0517+2212,0.222367,1.16e-17,18.70,*,0.158,0.158,5.14e+10,
134,J0518+2431,2.636940,6.86e-16,73.76,*,1.598,1.598,1.36e+12,
135,J0518+5125,0.912512,1.91e-16,39.24,*,1.337,1.337,4.22e+11,
136,J0518+5416,0.340203,1.68e-15,42.33,*,1.434,1.434,7.64e+11,
137,J0519-6932,0.263212,6.97e-16,118.86,*,49.700,49.732,4.33e+11,
138,J0520-2553,0.241642,3.01e-17,33.72,*,2.372,2.372,8.63e+10,
139,J0522-6847,0.674532,1.77e-14,126.45,*,49.700,49.581,3.50e+12,
140,J0525+1115,0.354438,7.36e-17,79.41,*,1.841,1.841,1.63e+11,
141,J0525-6607,8.047000,6.50e-11,*,*,*,*,7.32e+14,
142,J0528+2200,3.745539,4.01e-14,50.87,*,1.215,1.215,1.24e+13,
143,J0528+3529_P,0.078234,7.36e-19,111.84,DD,1.933,1.933,7.68e+09,
144,J0529-0715,0.689224,5.75e-16,87.30,*,7.001,7.001,6.37e+11,
145,J0529-6652,0.975737,1.55e-14,103.31,*,49.700,49.593,3.93e+12,
146,J0530-3847,0.906502,6.21e-16,48.56,*,25.000,25.000,7.59e+11,
147,J0532-6639,0.642743,5.35e-15,69.20,*,49.700,47.847,1.88e+12,
148,J0533+0402,0.963018,1.61e-16,83.86,*,2.172,2.172,3.98e+11,
149,J0533-4524,0.157285,2.80e-16,18.93,*,1.239,1.239,2.12e+11,
150,J0534+2200,0.033392,4.21e-13,56.77,*,2.000,1.311,3.79e+12,
151,J0534-6703,1.817565,4.25e-13,95.30,*,49.700,48.847,2.81e+13,
152,J0535-6935,0.200511,1.15e-14,93.70,*,49.700,48.857,1.54e+12,
153,J0536-7543,1.245856,5.75e-16,18.58,*,0.143,0.143,8.57e+11,
154,J0538+2817,0.143158,3.67e-15,39.57,*,1.300,0.946,7.33e+11,
155,J0540+3207,0.524271,4.48e-16,61.97,*,1.421,1.421,4.90e+11,
156,J0540+4542,0.401141,1.17e-17,56.12,*,1.512,1.512,6.93e+10,
157,J0540-6919,0.050570,4.79e-13,147.20,*,49.700,48.911,4.98e+12,
158,J0540-7125,1.286015,8.20e-16,29.41,*,0.547,0.547,1.04e+12,
159,J0543+2329,0.245975,1.54e-14,77.70,*,1.565,1.565,1.97e+12,
160,J0543-6851,0.708954,3.94e-15,134.90,*,49.700,48.824,1.69e+12,
161,J0546+2441,2.843850,7.65e-15,73.81,*,1.517,1.517,4.72e+12,
162,J0553+4111,0.559493,1.37e-17,37.90,*,1.150,1.150,8.87e+10,
163,J0554+3107,0.464961,1.43e-13,*,*,2.000,*,8.24e+12,
164,J0555-7056,0.827838,5.96e-15,72.90,*,49.700,48.741,2.25e+12,
165,J0557-2948,0.043643,7.30e-20,49.03,*,4.268,4.268,1.81e+09,
166,J0600-5756,2.261365,2.78e-15,30.00,*,0.553,0.553,2.54e+12,
167,J0601-0527,0.395969,1.30e-15,80.54,*,2.060,2.328,7.27e+11,
168,J0608+1635,0.945845,1.35e-14,86.08,*,1.646,1.646,3.62e+12,
169,J0609+2130,0.055698,2.35e-19,38.73,*,0.574,0.574,3.66e+09,
170,J0611+1436,0.270329,4.00e-15,43.99,*,0.807,0.807,1.05e+12,
171,J0612+3721,0.297982,5.95e-17,27.15,*,0.534,0.534,1.35e+11,
172,J0612+37216,0.443871,1.50e-16,39.27,*,1.083,1.083,2.61e+11,
173,J0613+3731,0.619198,3.24e-15,18.99,*,0.186,0.186,1.43e+12,
174,J0614+2229,0.334960,5.94e-14,96.91,*,3.500,1.744,4.52e+12,
175,J0621+0336,0.269954,7.22e-17,72.54,*,1.702,1.702,1.41e+11,
176,J0622+3749,0.333208,2.54e-14,*,*,*,*,2.95e+12,
177,J0623+0340,0.613760,8.84e-17,54.00,*,1.375,1.375,2.36e+11,
178,J0624-0424,1.039077,8.30e-16,70.83,*,1.938,1.938,9.40e+11,
179,J0627+0649,0.346523,1.70e-15,86.67,*,1.794,1.794,7.76e+11,
180,J0627+0706,0.475885,2.98e-14,138.22,*,2.289,2.289,3.81e+12,
181,J0628+0909,1.241421,5.48e-16,88.30,*,1.767,1.767,8.35e+11,
182,J0629+2415,0.476623,2.00e-15,84.18,*,2.900,1.667,9.87e+11,
183,J0630-0046,0.680575,3.75e-15,97.90,*,2.103,2.103,1.62e+12,
184,J0630-2834,1.244427,7.12e-15,34.42,*,0.320,2.084,3.01e+12,
185,J0631+0646,0.110979,3.62e-15,195.20,*,4.583,4.583,6.41e+11,
186,J0631+1036,0.287841,1.03e-13,125.31,*,2.104,2.104,5.50e+12,
187,J0633+0632,0.297395,7.96e-14,*,*,1.355,*,4.92e+12,
188,J0633+1746,0.237099,1.10e-14,2.89,*,0.190,0.138,1.63e+12,
189,J0633-2015,3.253211,3.82e-15,90.70,*,3.676,3.676,3.57e+12,
190,J0636-4549,1.984597,3.17e-15,26.31,*,0.383,0.383,2.54e+12,
191,J0639-0704,0.986486,1.63e-16,105.06,*,2.409,2.409,4.05e+11,
192,J0646+0905,0.903913,7.36e-16,149.70,*,2.536,2.536,8.25e+11,
193,J0647+0913,1.234854,6.42e-15,154.70,*,2.742,2.742,2.85e+12,
194,J0652-0142,0.924054,1.52e-16,116.30,*,2.318,2.318,3.80e+11,
195,J0653+8051,1.214441,3.80e-15,33.32,*,2.348,2.348,2.17e+12,
196,J0656-2228,1.224754,2.67e-17,32.53,*,1.632,1.632,1.83e+11,
197,J0656-5449,0.183157,3.19e-17,66.12,*,0.372,0.372,7.74e+10,
198,J0658+0022,0.563295,9.15e-15,115.60,*,2.301,2.301,2.30e+12,
199,J0658+2936,0.823701,1.44e-15,39.00,*,0.815,0.815,1.10e+12,
200,J0659+1414,0.384929,5.49e-14,13.95,*,0.286,0.159,4.65e+12,
201,J0700+6418,0.195671,6.85e-19,8.77,BT,0.413,0.413,1.17e+10,
202,J0709+0458,0.034429,3.80e-19,44.27,DDH,1.203,1.203,3.66e+09,
203,J0709-5923,0.485268,1.26e-16,65.00,*,0.371,0.371,2.50e+11,
204,J0711+0931,1.214090,4.00e-16,46.24,*,1.168,1.168,7.05e+11,
205,J0719-2545,0.974729,7.24e-15,253.72,*,9.810,9.810,2.69e+12,
206,J0720-3125,8.391116,6.98e-14,*,*,0.400,*,2.45e+13,
207,J0725-1635,0.424311,9.26e-17,98.98,*,2.777,2.777,2.01e+11,
208,J0726-2612,3.442308,2.93e-13,69.40,*,2.900,2.900,3.21e+13,
209,J0729-1448,0.251709,1.13e-13,91.93,*,2.679,2.679,5.41e+12,
210,J0729-1836,0.510176,1.90e-14,61.23,*,2.000,2.403,3.15e+12,
211,J0733-2345,1.796250,5.70e-15,190.20,*,4.122,4.122,3.24e+12,
212,J0734-1559,0.156250,1.22e-14,*,*,*,*,1.40e+12,
213,J0736-6304,4.862874,1.52e-13,19.40,*,0.103,0.103,2.75e+13,
214,J0737-2202,0.320370,5.47e-15,95.57,*,3.060,3.060,1.34e+12,
215,J0737-3039B,2.773461,8.92e-16,48.92,DD,1.100,1.105,1.59e+12,
216,J0738+6904,6.827693,2.70e-14,17.22,*,1.124,1.124,1.37e+13,
217,J0738-4042,0.374921,1.38e-15,160.90,*,1.600,1.555,7.27e+11,
218,J0742+4334,0.606191,3.71e-16,36.26,*,1.610,1.610,4.80e+11,
219,J0742-2822,0.166762,1.68e-14,73.76,*,2.000,3.115,1.69e+12,
220,J0744-2525,0.091996,9.56e-16,*,*,*,*,3.00e+11,
221,J0745-5353,0.214839,2.19e-15,121.38,*,0.565,0.565,6.94e+11,
222,J0746-4529,2.791025,1.67e-14,134.57,*,0.810,0.810,6.90e+12,
223,J0747+6646,0.407701,6.78e-16,27.58,*,1.864,1.864,5.32e+11,
224,J0749+5720,1.174929,8.31e-17,26.70,*,1.610,1.610,3.16e+11,
225,J0749-4247,1.095453,9.76e-16,104.59,*,0.560,0.560,1.05e+12,
226,J0750-6846,0.915216,1.10e-16,54.60,*,0.338,0.338,3.21e+11,
227,J0754+3231,1.442349,1.08e-15,39.99,*,1.464,1.464,1.26e+12,
228,J0758-1528,0.682265,1.62e-15,63.33,*,2.708,2.708,1.06e+12,
229,J0758-3002,1.091870,3.84e-16,86.34,*,0.441,0.441,6.55e+11,
230,J0802-5613,0.273973,2.76e-15,*,*,*,*,8.80e+11,
231,J0803-0942,0.571257,1.16e-15,21.10,*,0.818,0.818,8.24e+11,
232,J0804-3647,2.191987,4.21e-15,186.80,*,2.916,2.916,3.07e+12,
233,J0806-4123,11.370386,5.56e-14,*,*,*,*,2.54e+13,
234,J0807-5421,0.526644,3.75e-16,165.83,*,0.937,0.937,4.50e+11,
235,J0808-3937,0.866349,4.01e-16,169.10,*,2.884,2.884,5.96e+11,
236,J0809-4753,0.547202,3.08e-15,228.68,*,6.501,6.501,1.31e+12,
237,J0812-3905,0.482596,4.49e-17,329.60,*,5.860,5.860,1.49e+11,
238,J0814+7429,1.292241,1.68e-16,5.75,*,0.432,0.368,4.72e+11,
239,J0815+0939,0.645161,1.39e-16,52.66,*,2.491,2.491,3.03e+11,
240,J0815+4611,0.434242,3.90e-18,11.27,*,0.353,0.353,4.16e+10,
241,J0818-3049,0.763742,5.80e-16,118.90,*,0.422,0.422,6.73e+11,
242,J0818-3232,2.161259,7.54e-16,131.69,*,0.484,0.484,1.29e+12,
243,J0820-1350,1.238130,2.11e-15,40.94,*,1.900,2.321,1.63e+12,
244,J0820-3826,0.124837,2.44e-15,195.50,*,4.086,4.086,5.59e+11,
245,J0820-3921,1.073567,1.22e-14,179.40,*,3.576,3.576,3.66e+12,
246,J0820-4114,0.545446,1.98e-17,112.77,*,0.571,0.571,1.05e+11,
247,J0821-4221,0.396730,3.48e-15,270.61,*,5.802,5.802,1.19e+12,
248,J0821-4300,0.112799,9.29e-18,*,*,2.200,*,3.28e+10,
249,J0823+0159,0.864873,1.05e-16,23.73,BT,2.700,0.809,3.04e+11,
250,J0826+2637,0.530661,1.71e-15,19.48,*,0.500,0.315,9.64e+11,
251,J0828-3417,1.848919,9.96e-16,51.60,*,0.354,0.354,1.37e+12,
252,J0831-4406,0.311674,1.28e-15,254.00,*,5.883,5.883,6.39e+11,
253,J0834-4159,0.121118,4.28e-15,240.50,*,5.508,5.508,7.29e+11,
254,J0835-3707,0.541404,9.78e-15,112.40,*,0.555,0.555,2.33e+12,
255,J0835-4510,0.089328,1.25e-13,67.77,*,0.280,0.328,3.38e+12,
256,J0836-4233,0.738436,1.32e-15,180.00,*,3.609,3.609,9.99e+11,
257,J0837+0610,1.273768,6.80e-15,12.86,*,0.191,0.191,2.98e+12,
258,J0837-2454,0.629410,3.49e-13,143.10,*,25.000,25.000,1.50e+13,
259,J0837-4135,0.751625,3.54e-15,147.19,*,1.500,1.422,1.65e+12,
260,J0838-2621,0.308581,3.93e-17,116.91,*,4.101,4.101,1.11e+11,
261,J0838-3947,1.703946,8.13e-16,219.00,*,5.095,5.095,1.19e+12,
262,J0840-5332,0.720614,1.64e-15,157.37,*,0.567,0.567,1.10e+12,
263,J0842-4851,0.644367,9.56e-15,196.69,*,3.091,3.091,2.51e+12,
264,J0843-5022,0.208956,1.72e-16,178.44,*,1.573,1.573,1.92e+11,
265,J0846-3533,1.116099,1.60e-15,94.16,*,0.535,0.535,1.35e+12,
266,J0847-4316,5.977493,1.20e-13,292.50,*,6.547,6.547,2.71e+13,
267,J0849+8028,1.602228,4.46e-16,34.81,*,3.303,3.303,8.56e+11,
268,J0849-6322,0.367954,7.91e-16,91.31,*,0.383,0.383,5.46e+11,
269,J0854+5449,1.233033,3.12e-16,18.84,*,1.436,1.436,6.28e+11,
270,J0855-3331,1.267541,6.32e-15,86.40,*,0.502,0.502,2.86e+12,
271,J0855-4644,0.064686,7.26e-15,236.40,*,5.638,5.638,6.94e+11,
272,J0855-4658,0.575072,1.36e-14,472.70,*,13.740,13.740,2.83e+12,
273,J0856-6137,0.962511,1.68e-15,95.72,*,0.371,0.371,1.29e+12,
274,J0857+3349,0.242961,2.40e-16,24.00,*,1.567,1.567,2.44e+11,
275,J0857-4424,0.326793,1.97e-14,184.43,*,2.806,2.806,2.57e+12,
276,J0901-4046,75.885547,2.25e-13,52.00,*,0.327,0.327,1.32e+14,
277,J0901-4624,0.442058,8.74e-14,198.96,*,3.008,3.008,6.29e+12,
278,J0902-6325,0.660314,9.68e-17,72.80,*,0.192,0.192,2.56e+11,
279,J0904-4246,0.965174,1.88e-15,145.88,*,0.675,0.675,1.36e+12,
280,J0904-7459,0.549554,4.62e-16,49.20,*,0.962,0.962,5.10e+11,
281,J0905-4536,0.988281,1.50e-16,196.40,*,2.913,2.913,3.89e+11,
282,J0905-5127,0.346310,2.48e-14,196.43,*,1.320,1.320,2.97e+12,
283,J0905-6019,0.340854,5.22e-16,91.40,*,0.359,0.359,4.27e+11,
284,J0907-5157,0.253558,1.83e-15,103.66,*,0.340,0.340,6.90e+11,
285,J0908-1739,0.401626,6.69e-16,15.88,*,0.805,0.805,5.25e+11,
286,J0908-4913,0.106771,1.51e-14,180.16,*,1.000,1.010,1.29e+12,
287,J0909-7212,1.362890,3.27e-16,54.23,*,0.752,0.752,6.75e+11,
288,J0912-3851,1.526085,3.59e-15,71.50,*,0.346,0.346,2.37e+12,
289,J0919-6040,1.216976,1.00e-17,82.50,*,0.355,0.355,1.12e+11,
290,J0921+6254,1.567994,3.61e-15,13.15,*,1.003,1.003,2.41e+12,
291,J0922+0638,0.430632,1.37e-14,27.30,*,1.100,1.903,2.46e+12,
292,J0922-4949,0.950357,9.76e-14,237.31,*,2.706,2.706,9.74e+12,
293,J0924-5302,0.746344,3.54e-14,153.40,*,0.514,0.514,5.20e+12,
294,J0924-5814,0.739505,4.92e-15,57.09,*,0.107,0.107,1.93e+12,
295,J0927+2345,0.761889,3.05e-16,17.24,*,1.091,1.091,4.88e+11,
296,J0930-2301,1.807069,3.36e-15,78.30,*,25.000,25.000,2.49e+12,
297,J0932-3217,1.931627,2.50e-16,102.10,*,0.414,0.414,7.03e+11,
298,J0932-5327,4.392159,8.37e-15,118.56,*,0.359,0.359,6.14e+12,
299,J0934-4154,0.570409,2.69e-16,113.79,*,0.530,0.530,3.96e+11,
300,J0934-5249,1.444778,4.65e-15,100.37,*,0.349,0.349,2.62e+12,
301,J0940-5428,0.087569,3.29e-14,134.83,*,0.377,0.377,1.72e+12,
302,J0941-5244,0.658559,1.14e-15,157.94,*,0.398,0.398,8.76e+11,
303,J0942-5552,0.664389,2.27e-14,180.19,*,0.300,0.415,3.93e+12,
304,J0942-5657,0.808171,3.96e-14,160.13,*,0.406,0.406,5.72e+12,
305,J0943+1631,1.087418,9.11e-17,20.34,*,1.371,1.371,3.18e+11,
306,J0943+2253,0.532975,8.98e-17,27.25,*,3.554,3.554,2.21e+11,
307,J0944+4106,2.229431,4.42e-15,21.41,*,2.670,2.670,3.18e+12,
308,J0944-1354,0.570264,4.53e-17,12.50,*,0.690,0.690,1.63e+11,
309,J0945-4833,0.331586,4.83e-15,98.10,*,0.352,0.352,1.28e+12,
310,J0946+0951,1.097706,3.49e-15,15.32,*,0.892,0.892,1.98e+12,
311,J0947+2740,0.851014,4.30e-16,29.09,*,25.000,25.000,6.12e+11,
312,J0949-6902,0.640016,6.37e-16,93.00,*,1.678,1.678,6.46e+11,
313,J0952-3839,1.373816,5.77e-16,162.78,*,0.523,0.523,9.01e+11,
314,J0953+0755,0.253065,2.30e-16,2.97,*,0.261,0.187,2.44e+11,
315,J0954-5430,0.472866,4.39e-14,201.16,*,0.432,0.432,4.61e+12,
316,J0955-5304,0.862123,3.53e-15,156.74,*,0.401,0.401,1.76e+12,
317,J0957-5432,0.203557,1.95e-15,226.10,*,0.449,0.449,6.37e+11,
318,J0959-4809,0.670086,8.52e-17,92.64,*,0.361,0.361,2.42e+11,
319,J1000-5149,0.255677,9.59e-16,72.80,*,0.127,0.127,5.01e+11,
320,J1001-5507,1.436639,5.16e-14,130.29,*,0.300,0.408,8.71e+12,
321,J1001-5559,1.661177,8.64e-16,158.04,*,0.432,0.432,1.21e+12,
322,J1001-5939,7.733640,5.99e-14,113.00,*,1.240,1.240,2.18e+13,
323,J1002-5559,0.777501,1.57e-15,426.00,*,3.270,3.270,1.12e+12,
324,J1002-5919,0.713489,1.04e-16,347.00,*,3.171,3.171,2.76e+11,
325,J1003-4747,0.307074,2.07e-15,98.27,*,0.369,0.369,8.07e+11,
326,J1006-6311,0.835797,5.73e-16,195.99,*,2.382,2.382,7.00e+11,
